HOLEID,DEPTH,X,Y,Z,LATITUDE,LONGITUDE,TENEMENTID,PROSPECT,STARTDATE,ENDDATE,BestGridName_D
ALX___006-1_,788,573314.414,6429730.551,472.768,58.00312776,-103.7595422,,ALE,09/02/2019,23/02/2019,NAD83_UTMZ12N_DGPS_F
ALX___007___,767,573385.812,6429774.046,470.886,58.00350657,-103.7583209,,ALE,23/02/2019,10/03/2019,NAD83_UTMZ12N_DGPS_F
ALX___011___,716,573583.62,6428492.79,490.32,57.99196827,-103.7553742,,ALE,20/03/2020,30/03/2020,NAD83_UTMZ12N_DGPS_F
HK18-86,503,613412,6400197,516,57.72957872,-103.0955128,,HOK,23/01/2018,23/01/2018,NAD83_UTMZ12N_LEGACY
SUE_D_Muon__,314,570155.54,6457590.32,464.03,58.25381626,-103.8046254,,MCC,26/03/2021,31/03/2021,NAD83_UTMZ13N_DGPS_F
NIKI___06___,737,578756.549,6428842.731,468.206,57.99422474,-103.6677856,,NIK,30/03/2018,10/04/2018,NAD83_UTMZ12N_DGPS_S
NIKI___08___,611,578877.297,6428347.095,476.174,57.98975271,-103.6659092,,NIK,15/02/2019,27/02/2019,NAD83_UTMZ12N_DGPS_F
NIKI___13-1_,723.3,582648.218,6429571.483,491.099,58.00006231,-103.6017218,,NIK,08/02/2020,20/02/2020,NAD83_UTMZ12N_DGPS_F
NIKI___15___,578,578909.88,6428369.81,474.8,57.98995091,-103.6653507,,NIK,18/03/2020,29/03/2020,NAD83_UTMZ12N_DGPS_F
SFC_12,462,527059.047,6436752.319,492.948,58.07141738,-104.5413179,,CIGAR,16/09/2019,22/09/2019,NAD83_UTMZ12N_DGPS_F
U382,94.9,527403.919,6436851.205,15.41,58.07228436,-104.5354604,,CIGAR,13/08/2014,20/08/2014,NAD83_UTMZ13N
U427,220,527360.4,6436667,-13.132,58.07063258,-104.5362196,,CIGAR,20/01/2015,29/01/2015,NAD83_UTMZ13N
SF719_13,456,527272.862,6436769.924,489.736,58.07156241,-104.5376915,,CIGAR,,,NAD83_UTMZ13N
SF725_10,456,527272.62,6436756.043,489.469,58.07143775,-104.5376972,,CIGAR,,,NAD83_UTMZ13N
SF731_05,456,527272.653,6436724.125,489.181,58.07115107,-104.5377003,,CIGAR,,,NAD83_UTMZ13N
SF737_05,456,527278.458,6436740.262,489.129,58.07129565,-104.5376,,CIGAR,,,NAD83_UTMZ13N
SF742_09,456,527278.566,6436794.457,489.405,58.0717824,-104.5375919,,CIGAR,,,NAD83_UTMZ13N
SF910_02,456,527386.745,6436710.893,489.296,58.07102519,-104.5357679,,CIGAR,,,NAD83_UTMZ13N
SF910_07,456,527386.651,6436740.461,489.429,58.07129077,-104.535766,,CIGAR,,,NAD83_UTMZ13N
SF910_08,456,527386.683,6436746.479,489.434,58.07134482,-104.5357648,,CIGAR,,,NAD83_UTMZ13N
SF910_09,456,527386.39,6436752.549,489.539,58.07139935,-104.5357691,,CIGAR,,,NAD83_UTMZ13N
SF910_10,456,527386.403,6436758.649,489.286,58.07145414,-104.5357681,,CIGAR,,,NAD83_UTMZ13N
SF910_18,456,527386.724,6436806.236,489.051,58.07188153,-104.5357571,,CIGAR,,,NAD83_UTMZ13N
ST896_12,456,527380.339,6436775.915,489.43,58.07160959,-104.5358689,,CIGAR,,,NAD83_UTMZ13N
ST900_04,456,527386.669,6436724.495,489.44,58.07114736,-104.5357676,,CIGAR,,,NAD83_UTMZ13N
ST900_15,456,527386.539,6436790.615,489.51,58.07174124,-104.5357621,,CIGAR,,,NAD83_UTMZ13N
ST902_08,456,527386.709,6436748.625,489.159,58.07136409,-104.5357641,,CIGAR,,,NAD83_UTMZ13N
CIG_____1___,356,525076,6418748,521.2,57.90982237,-104.5768441,S-106559,JIGGER,15/08/1979,20/08/1979,NAD83_UTMZ13N
CIG_____2___,439.2,525929,6419724,466.9,57.91853996,-104.5623432,ML 5463,JIGGER,09/02/1981,16/02/1981,NAD83_UTMZ13N
CIG_____3___,372.6,525981,6419725,468,57.91854592,-104.5614654,ML 5463,JIGGER,19/02/1981,22/02/1981,NAD83_UTMZ13N
CIG_____4___,402,525876,6419723,466.3,57.91853406,-104.5632379,ML 5463,JIGGER,22/02/1981,28/02/1981,NAD83_UTMZ13N
CIG_____5___,353.6,526134,6420176,466.4,57.92258782,-104.5588332,ML 5463,JIGGER,28/02/1981,04/03/1981,NAD83_UTMZ13N
CIG_____6___,367.9,526201,6420458,466,57.92511678,-104.5576711,ML 5463,JIGGER,05/03/1981,09/03/1981,NAD83_UTMZ13N
CIG_____69_1,450,532104,6427685,454.7,57.98964171,-104.4570372,S-106560,REGIONAL,01/01/1969,01/01/1969,NAD83_UTMZ13N
CIG_____7___,406.6,526013,6420173,470.3,57.92256795,-104.5608761,ML 5463,JIGGER,09/03/1981,13/03/1981,NAD83_UTMZ13N
CIG_____8___,87.5,525930,6420160,480.7,57.92245601,-104.5622787,ML 5463,JIGGER,14/03/1981,15/03/1981,NAD83_UTMZ13N
CIG_____9___,410.6,525930,6420160,480.7,57.92245601,-104.5622787,ML 5463,JIGGER,15/03/1981,19/03/1981,NAD83_UTMZ13N
CIG____10___,404.5,526082,6420180,466.6,57.92262679,-104.5597106,ML 5463,JIGGER,20/03/1981,24/03/1981,NAD83_UTMZ13N
CIG____11___,453.2,532279,6432141,457,58.0296512,-104.4534678,ML 5463,POWER-LINE NE,27/03/1981,02/04/1981,NAD83_UTMZ13N
CIG____12___,450.2,528984,6429966,458,58.01034327,-104.5095235,ML 5463,POWER-LINE EAST,06/04/1981,12/04/1981,NAD83_UTMZ13N
CIG____13___,448.7,527239,6424612,470,57.96236517,-104.5396699,ML 5463,JIGGER NORTH,17/04/1981,22/04/1981,NAD83_UTMZ13N
CIG____14___,611.7,520307,6430962,502,58.01977037,-104.6562733,ML 5463,REGIONAL,24/04/1981,01/05/1981,NAD83_UTMZ13N
CIG____15___,561.7,526550,6436660,481.8,58.07061898,-104.5499572,ML 5463,CIGAR,05/05/1981,11/05/1981,NAD83_UTMZ13N
CIG____16___,394,531320,6432345,460,58.03155212,-104.4696776,ML 5463,POWER-LINE NE,09/02/1982,16/02/1982,NAD83_UTMZ13N
CIG____17___,530,526272,6436615,464.3,58.07023136,-104.5546745,ML 5463,CIGAR,17/02/1982,21/02/1982,NAD83_UTMZ13N
CIG____18___,530,526307,6436578,464.6,58.06989696,-104.5540854,ML 5463,CIGAR,22/02/1982,28/02/1982,NAD83_UTMZ13N
CIG____19___,515,526239,6436651,464.6,58.07055665,-104.5552299,ML 5463,CIGAR,28/02/1982,04/03/1982,NAD83_UTMZ13N
CIG____20___,527,526201,6436687,464.4,58.07088224,-104.55587,ML 5463,CIGAR,04/03/1982,08/03/1982,NAD83_UTMZ13N
CIG____21___,551,526595,6436633,486.3,58.07037377,-104.5491975,ML 5463,CIGAR,21/03/1982,25/03/1982,NAD83_UTMZ13N
CIG____22___,536,526168,6436724,464.1,58.07121651,-104.5564253,ML 5463,CIGAR,09/03/1982,15/03/1982,NAD83_UTMZ13N
CIG____23___,478.6,533513,6440449,456,58.10417826,-104.4313902,ML 5463,CONTACT,09/03/1982,14/03/1982,NAD83_UTMZ13N
CIG____24___,513,526513,6436700,469.7,58.07098046,-104.5505799,ML 5463,CIGAR,15/03/1982,20/03/1982,NAD83_UTMZ13N
CIG____25___,523.7,526344,6436685,464.3,58.07085581,-104.5534463,ML 5463,CIGAR,15/03/1982,20/03/1982,NAD83_UTMZ13N
CIG____26___,537.5,526483,6436733,465.3,58.07127865,-104.5510847,ML 5463,CIGAR,26/03/1982,30/03/1982,NAD83_UTMZ13N
CIG____27___,530,526377,6436650,464,58.07053948,-104.5528908,ML 5463,CIGAR,21/03/1982,26/03/1982,NAD83_UTMZ13N
CIG____28___,521.6,526726,6436694,485.2,58.07091378,-104.54697,ML 5463,CIGAR,25/03/1982,31/03/1982,NAD83_UTMZ13N
CIG____29___,550,526855,6436722,490.8,58.07115747,-104.5447802,ML 5463,CIGAR,31/03/1982,06/04/1982,NAD83_UTMZ13N
CIG____30___,468,526096,6436635,464.4,58.07042139,-104.5576556,ML 5463,CIGAR,31/03/1982,04/04/1982,NAD83_UTMZ13N
CIG____31___,530.4,525971,6436643,466.8,58.07050058,-104.5597736,ML 5463,CIGAR,07/04/1982,11/04/1982,NAD83_UTMZ13N
CIG____32___,389,527032,6421122,476,57.93103114,-104.5435664,ML 5463,JIGGER,06/04/1982,09/04/1982,NAD83_UTMZ13N
CIG____33___,549.7,525813,6436601,476,58.07013257,-104.5624564,ML 5463,CIGAR,10/06/1982,17/06/1982,NAD83_UTMZ13N
CIG____34___,535,525813,6436700,471.2,58.07102176,-104.5624455,ML 5463,CIGAR,17/06/1982,23/06/1982,NAD83_UTMZ13N
CIG____35___,537,525813,6436750,469.6,58.07147085,-104.56244,ML 5463,CIGAR,23/06/1982,28/06/1982,NAD83_UTMZ13N
CIG____36___,62,526863.3,6436780,490,58.07167791,-104.5446328,ML 5463,CIGAR,30/06/1982,01/07/1982,NAD83_UTMZ13N
CIG____36_A_,503,526869.779,6436776.929,490,58.07164993,-104.5445234,ML 5463,CIGAR,01/07/1982,06/07/1982,NAD83_UTMZ13N
CIG____37___,45,526863,6436709,492.2,58.07104023,-104.5446461,ML 5463,CIGAR,06/07/1982,07/07/1982,NAD83_UTMZ13N
CIG____37_A_,511,526868.779,6436707.429,492.2,58.07102577,-104.5445483,ML 5463,CIGAR,07/07/1982,12/07/1982,NAD83_UTMZ13N
CIG____37_B_,478.3,526868.779,6436707.429,492.2,58.07102577,-104.5445483,ML 5463,CIGAR,12/07/1982,16/07/1982,NAD83_UTMZ13N
CIG____37_C_,477,526868.779,6436707.429,492.2,58.07102577,-104.5445483,ML 5463,CIGAR,17/07/1982,20/07/1982,NAD83_UTMZ13N
CIG____38___,530,526963,6436751,496.2,58.07141139,-104.5429461,ML 5463,CIGAR,21/07/1982,26/07/1982,NAD83_UTMZ13N
CIG____39___,530,527063,6436767,494.1,58.071549,-104.5412492,ML 5463,CIGAR,27/07/1982,02/08/1982,NAD83_UTMZ13N
CIG____39_A_,481,527063,6436767,494.1,58.071549,-104.5412492,ML 5463,CIGAR,02/08/1982,14/08/1982,NAD83_UTMZ13N
CIG____40___,493,527163,6436788,488.2,58.0717315,-104.5395517,ML 5463,CIGAR,05/08/1982,10/08/1982,NAD83_UTMZ13N
CIG____41___,583.25,526539,6437753,502.2,58.0804366,-104.5500202,ML 5463,TIBIA LAKE,15/08/1982,21/08/1982,NAD83_UTMZ13N
CIG____42___,509.6,527262,6436824,485.3,58.07204877,-104.5378693,ML 5463,CIGAR,08/02/1983,14/02/1983,NAD83_UTMZ13N
CIG____42_A_,495.9,527262,6436824,485.3,58.07204877,-104.5378693,ML 5463,CIGAR,15/02/1983,22/02/1983,NAD83_UTMZ13N
CIG____42_B_,454.8,527262,6436824,485.3,58.07204877,-104.5378693,ML 5463,CIGAR,23/02/1983,28/02/1983,NAD83_UTMZ13N
CIG____43___,571.5,526455,6437695,504,58.07992069,-104.551451,ML 5463,TIBIA LAKE,13/02/1983,21/02/1983,NAD83_UTMZ13N
CIG____44___,477.4,527267,6436776,486.4,58.07161734,-104.5377901,ML 5463,CIGAR,23/02/1983,01/03/1983,NAD83_UTMZ13N
CIG____44_A_,452.9,527267,6436776,486.4,58.07161734,-104.5377901,ML 5463,CIGAR,02/03/1983,11/03/1983,NAD83_UTMZ13N
CIG____45___,495.6,527362,6436817,481.3,58.07197973,-104.536175,ML 5463,CIGAR,01/03/1983,08/03/1983,NAD83_UTMZ13N
CIG____45_A_,445.3,527362,6436817,481.3,58.07197973,-104.536175,ML 5463,CIGAR,08/03/1983,14/03/1983,NAD83_UTMZ13N
CIG____45_B_,468.18,527362,6436817,481.3,58.07197973,-104.536175,ML 5463,CIGAR,15/03/1983,20/03/1983,NAD83_UTMZ13N
CIG____46___,501.7,527268,6436762,486.7,58.07149153,-104.5377748,ML 5463,CIGAR,12/03/1983,18/03/1983,NAD83_UTMZ13N
CIG____46_A_,459,527268,6436762,486.7,58.07149153,-104.5377748,ML 5463,CIGAR,18/03/1983,25/03/1983,NAD83_UTMZ13N
CIG____47___,414.8,527456,6436784,481.6,58.07167753,-104.5345854,ML 5463,CIGAR,01/04/1983,01/04/1983,NAD83_UTMZ13N
CIG____47_A_,472.5,527456,6436784,481.6,58.07167753,-104.5345854,ML 5463,CIGAR,07/04/1983,09/04/1983,NAD83_UTMZ13N
CIG____47_B_,434.7,527456,6436784,481.6,58.07167753,-104.5345854,ML 5463,CIGAR,01/04/1983,01/04/1983,NAD83_UTMZ13N
CIG____47_C_,327.1,527456,6436784,481.6,58.07167753,-104.5345854,ML 5463,CIGAR,01/04/1983,01/04/1983,NAD83_UTMZ13N
CIG____47_D_,459.03,527456,6436784,481.6,58.07167753,-104.5345854,ML 5463,CIGAR,01/04/1983,01/04/1983,NAD83_UTMZ13N
CIG____48___,460.6,527267,6436802,486,58.07185086,-104.5377871,ML 5463,CIGAR,28/03/1983,01/04/1983,NAD83_UTMZ13N
CIG____48_A_,460.6,527267,6436802,486,58.07185086,-104.5377871,ML 5463,CIGAR,01/04/1983,01/04/1983,NAD83_UTMZ13N
CIG____48_B_,517,527267,6436802,486,58.07185086,-104.5377871,ML 5463,CIGAR,12/04/1983,16/04/1983,NAD83_UTMZ13N
CIG____49___,453.2,527269,6436734,487.3,58.07123999,-104.5377611,ML 5463,CIGAR,14/04/1983,17/04/1983,NAD83_UTMZ13N
CIG____49_A_,468.5,527269,6436734,487.3,58.07123999,-104.5377611,ML 5463,CIGAR,15/06/1983,22/06/1983,NAD83_UTMZ13N
CIG____49_B_,479.6,527269,6436734,487.3,58.07123999,-104.5377611,ML 5463,CIGAR,22/06/1983,28/06/1983,NAD83_UTMZ13N
CIG____50___,483.4,527465,6436754,489.1,58.07140752,-104.5344364,ML 5463,CIGAR,14/04/1983,17/04/1983,NAD83_UTMZ13N
CIG____51___,526.1,527559,6436770,499.8,58.0715454,-104.5328411,ML 5463,CIGAR,19/04/1983,21/04/1983,NAD83_UTMZ13N
CIG____51_A_,510.6,527559,6436770,499.8,58.0715454,-104.5328411,ML 5463,CIGAR,16/06/1983,20/06/1983,NAD83_UTMZ13N
CIG____52___,495.6,527470,6436815,481.7,58.07195509,-104.5343445,ML 5463,CIGAR,08/06/1983,22/06/1983,NAD83_UTMZ13N
CIG____52_A_,468,527470,6436815,481.6,58.07195509,-104.5343445,ML 5463,CIGAR,08/06/1983,22/06/1983,NAD83_UTMZ13N
CIG____53___,471.3,527467,6436731,491.2,58.07120082,-104.5344052,ML 5463,CIGAR,18/06/1983,24/06/1983,NAD83_UTMZ13N
CIG____53_A_,480.4,527467,6436731,491.2,58.07120082,-104.5344052,ML 5463,CIGAR,24/06/1983,28/06/1983,NAD83_UTMZ13N
CIG____53_B_,514.2,527467,6436731,491.2,58.07120082,-104.5344052,ML 5463,CIGAR,28/06/1983,03/07/1983,NAD83_UTMZ13N
CIG____53_C_,483.7,527467,6436731,491.2,58.07120082,-104.5344052,ML 5463,CIGAR,28/06/1983,03/07/1983,NAD83_UTMZ13N
CIG____54___,483.4,527559,6436814,496.5,58.07194059,-104.5328359,ML 5463,CIGAR,20/06/1983,26/06/1983,NAD83_UTMZ13N
CIG____55___,524.3,527661,6436886,492,58.07258092,-104.5310984,ML 5463,CIGAR,26/06/1983,30/06/1983,NAD83_UTMZ13N
CIG____56___,486.8,527266,6436700,487.3,58.07093479,-104.5378159,ML 5463,CIGAR,28/06/1983,03/07/1983,NAD83_UTMZ13N
CIG____56_A_,480.7,527266,6436700,487.3,58.07093479,-104.5378159,ML 5463,CIGAR,03/07/1983,03/07/1983,NAD83_UTMZ13N
CIG____56_B_,501.4,527266,6436700,487.3,58.07093479,-104.5378159,ML 5463,CIGAR,08/07/1983,12/07/1983,NAD83_UTMZ13N
CIG____57___,473.7,527468,6436768,485.9,58.07153308,-104.5343839,ML 5463,CIGAR,29/06/1983,08/07/1983,NAD83_UTMZ13N
CIG____58___,492.7,527666,6436845,500.3,58.07221236,-104.5310185,ML 5463,CIGAR,01/07/1983,06/07/1983,NAD83_UTMZ13N
CIG____58_A_,492.6,527666,6436845,500.3,58.07221236,-104.5310185,ML 5463,CIGAR,15/07/1983,20/07/1983,NAD83_UTMZ13N
CIG____59___,495.6,527662,6436806,502.7,58.07186232,-104.5310909,ML 5463,CIGAR,06/07/1983,10/07/1983,NAD83_UTMZ13N
CIG____59_A_,486.5,527662,6436806,502.7,58.07186232,-104.5310909,ML 5463,CIGAR,10/07/1983,13/07/1983,NAD83_UTMZ13N
CIG____60___,495.6,527365,6436768,481.7,58.07153945,-104.5361298,ML 5463,CIGAR,08/07/1983,12/07/1983,NAD83_UTMZ13N
CIG____61___,498.7,526662,6436696,486.1,58.0709356,-104.5480547,ML 5463,CIGAR,10/07/1983,14/07/1983,NAD83_UTMZ13N
CIG____62___,496.8,527265,6436671,487.7,58.07067439,-104.5378362,ML 5463,CIGAR,13/07/1983,18/07/1983,NAD83_UTMZ13N
CIG____63___,486.5,527762,6436829,497.1,58.07206265,-104.5293931,ML 5463,CIGAR EAST,14/07/1983,19/07/1983,NAD83_UTMZ13N
CIG____64___,517,526663,6436677,485.7,58.07076489,-104.5480399,ML 5463,CIGAR,15/07/1983,20/07/1983,NAD83_UTMZ13N
CIG____65___,477.3,527087,6436749,491.9,58.07138587,-104.5408444,ML 5463,CIGAR,19/07/1983,23/07/1983,NAD83_UTMZ13N
CIG____66___,474.3,527762,6436850,495.6,58.07225126,-104.5293906,ML 5463,CIGAR EAST,20/07/1983,24/07/1983,NAD83_UTMZ13N
CIG____67___,477.3,527310,6436777,483.9,58.07162367,-104.5370611,ML 5463,CIGAR,21/07/1983,29/07/1983,NAD83_UTMZ13N
CIG____68___,489.6,526662,6436716,486.9,58.07111523,-104.5480524,ML 5463,CIGAR,21/07/1983,26/07/1983,NAD83_UTMZ13N
CIG____69___,495.6,526662,6436733,487,58.07126792,-104.5480505,ML 5463,CIGAR,27/07/1983,31/07/1983,NAD83_UTMZ13N
CIG____70___,521.8,527082,6436731,491.3,58.0712245,-104.5409313,ML 5463,CIGAR,24/07/1983,01/08/1983,NAD83_UTMZ13N
CIG____71___,489.5,527212,6436792,487.3,58.07176442,-104.5387206,ML 5463,CIGAR,29/07/1983,04/08/1983,NAD83_UTMZ13N
CIG____72___,484,527759,6436864,493.2,58.0723772,-104.5294398,ML 5463,CIGAR EAST,25/07/1983,02/08/1983,NAD83_UTMZ13N
CIG____73___,495.6,526854,6436689,489.7,58.07086114,-104.5448009,ML 5463,CIGAR,01/08/1983,05/08/1983,NAD83_UTMZ13N
CIG____74___,498.2,527085,6436803,494,58.071871,-104.5408721,ML 5463,CIGAR,02/08/1983,07/08/1983,NAD83_UTMZ13N
CIG____75___,474.3,527162,6436772,487.9,58.07158786,-104.5395705,ML 5463,CIGAR,04/08/1983,17/08/1983,NAD83_UTMZ13N
CIG____76___,462.1,527285,6436777,486.1,58.07162521,-104.5374849,ML 5463,CIGAR,03/08/1983,17/08/1983,NAD83_UTMZ13N
CIG____77___,474.3,527112,6436773,492.1,58.0715999,-104.5404179,ML 5463,CIGAR,06/08/1983,11/08/1983,NAD83_UTMZ13N
CIG____78___,477.32,527084,6436786,494,58.07171837,-104.540891,ML 5463,CIGAR,07/08/1983,13/08/1983,NAD83_UTMZ13N
CIG____79___,462.3,527159,6436811,489,58.07193833,-104.5396168,ML 5463,CIGAR,11/08/1983,16/08/1983,NAD83_UTMZ13N
CIG____80___,468.2,527163,6436732,490.6,58.07122853,-104.5395581,ML 5463,CIGAR,13/08/1983,18/08/1983,NAD83_UTMZ13N
CIG____81___,495.6,527160,6436831,490.4,58.0721179,-104.5395975,ML 5463,CIGAR,17/08/1983,23/08/1983,NAD83_UTMZ13N
CIG____82___,33.5,527277.9,6436851,490,58.07229029,-104.5375966,ML 5463,CIGAR,01/08/1983,02/08/1983,NAD83_UTMZ13N
CIG____83___,477.3,527211.3,6437638.3,458.1,58.07936564,-104.5386344,ML 5463,TIBIA LAKE,17/08/1983,22/08/1983,NAD83_UTMZ13N
CIG____84___,535.2,526529.7,6437775.2,502.5,58.08063655,-104.5501754,ML 5463,TIBIA LAKE,18/08/1983,25/08/1983,NAD83_UTMZ13N
CIG____85___,473.1,527327.5,6436767.9,483,58.07154086,-104.5367655,ML 5463,CIGAR,20/08/1983,24/08/1983,NAD83_UTMZ13N
CIG____86___,460.6,527192.5,6437654.2,462.6,58.07950961,-104.5389513,ML 5463,TIBIA LAKE,22/08/1983,27/08/1983,NAD83_UTMZ13N
CIG____87___,471.2,527132.1,6436770.7,490.2,58.07157801,-104.5400774,ML 5463,CIGAR,23/08/1983,28/08/1983,NAD83_UTMZ13N
CIG____88___,571.8,526559.2,6437745.2,501.7,58.08036534,-104.5496786,ML 5463,TIBIA LAKE,25/08/1983,01/09/1983,NAD83_UTMZ13N
CIG____89___,477.3,527183.8,6436771.1,487.7,58.07157844,-104.539201,ML 5463,CIGAR,29/08/1983,02/09/1983,NAD83_UTMZ13N
CIG____90___,462.1,527207.9,6436774.9,487.8,58.07161109,-104.5387921,ML 5463,CIGAR,25/08/1983,29/08/1983,NAD83_UTMZ13N
CIG____91___,452.6,527239,6436770,486.8,58.07156517,-104.5382655,ML 5463,CIGAR,01/09/1983,06/09/1983,NAD83_UTMZ13N
CIG____92___,480.4,527558,6436726,503.6,58.07115027,-104.5328632,ML 5463,CIGAR,02/09/1983,07/09/1983,NAD83_UTMZ13N
CIG____93___,169.5,527556,6436708,503.8,58.07098872,-104.5328992,ML 5463,CIGAR,07/02/1984,14/02/1984,NAD83_UTMZ13N
CIG____93_A_,497.4,527556,6436708,503.8,58.07098872,-104.5328992,ML 5463,CIGAR,14/02/1984,23/02/1984,NAD83_UTMZ13N
CIG____94___,346.9,526962,6436777,496.6,58.07164497,-104.5429601,ML 5463,CIGAR,09/02/1984,17/02/1984,NAD83_UTMZ13N
CIG____94_A_,454.6,526962,6436777,496.6,58.07164497,-104.5429601,ML 5463,CIGAR,17/02/1984,27/02/1984,NAD83_UTMZ13N
CIG____94_B_,443.2,526962,6436777,496.6,58.07164497,-104.5429601,ML 5463,CIGAR,27/02/1984,29/02/1984,NAD83_UTMZ13N
CIG____95___,446.5,526013,6436639,466.7,58.07046219,-104.5590621,ML 5463,CIGAR,09/02/1984,20/02/1984,NAD83_UTMZ13N
CIG____96___,435.6,526013,6436610,466.4,58.07020172,-104.5590653,ML 5463,CIGAR,20/02/1984,29/02/1984,NAD83_UTMZ13N
CIG____97___,446.6,526212,6436689,464.6,58.07089956,-104.5556833,ML 5463,CIGAR,01/03/1984,07/03/1984,NAD83_UTMZ13N
CIG____98___,520,527561,6436687,504.6,58.07079979,-104.5328169,ML 5463,CIGAR,23/02/1984,01/03/1984,NAD83_UTMZ13N
CIG____99___,449,526972,6436735,496.1,58.07126713,-104.5427954,ML 5463,CIGAR,29/02/1984,01/03/1984,NAD83_UTMZ13N
CIG___100___,457.5,527567,6436820,496.8,58.07199398,-104.5326996,ML 5463,CIGAR,02/03/1984,10/03/1984,NAD83_UTMZ13N
CIG___101___,294.1,526212,6436710,464.4,58.07108817,-104.555681,ML 5463,CIGAR,11/03/1984,11/03/1984,NAD83_UTMZ13N
CIG___101_A_,450.7,526218.479,6436706.529,464.4,58.07105661,-104.5555715,ML 5463,CIGAR,12/03/1984,18/03/1984,NAD83_UTMZ13N
CIG___102___,460.6,526968,6436793,496.2,58.07178831,-104.5428566,ML 5463,CIGAR,13/03/1984,21/03/1984,NAD83_UTMZ13N
