HOLEID,DEPTH,X_NAD,Y_NAD,Z_NAD,HORIZON
CIG_____1___,344.7,525076,6418772.045,177.3396719,Uc
CIG_____2___,306.6,525929,6419724,160.3,Uc
CIG_____3___,295.8,525981,6419725,172.2,Uc
CIG_____4___,317.6,525876,6419723,148.7,Uc
CIG_____5___,276.9,526134,6420176,189.5,Uc
CIG_____6___,277,526201,6420458,189,Uc
CIG_____69_1,331.8,526201,6420458,134.2,Uc
CIG_____7___,329,526013,6420173,141.3,Uc
CIG_____9___,337.8,525930,6420160,142.9,Uc
CIG____10___,315.6,526082,6420180,151,Uc
CIG____11___,271.9,532281.6909,6432140.671,185.1586676,Uc
CIG____12___,299.4,528984.2629,6429967.095,158.6056306,Uc
CIG____13___,331.3,527242.2588,6424628.22,139.1383911,Uc
CIG____14___,497.93,520341.0596,6430965.223,5.442915162,Uc
CIG____15___,441.4,526561.9846,6436660.305,40.58822803,Uc
CIG____16___,298.15,531320,6432345,161.85,Uc
CIG____17___,431,526274.6616,6436617.756,33.33368321,Uc
CIG____18___,432.3,526311.6324,6436583.285,32.46050168,Uc
CIG____19___,423.2,526237.2104,6436658.167,41.48398414,Uc
CIG____20___,426,526211.3408,6436667.435,39.00266747,Uc
CIG____21___,452,526630.7975,6436612.047,36.20848136,Uc
CIG____22___,437.7,526167.0599,6436725.407,26.44846206,Uc
CIG____23___,381.2,533512.9255,6440481.017,76.19593867,Uc
CIG____24___,430.5,526518.5277,6436690.913,39.35846456,Uc
CIG____25___,425,526355.6613,6436692.5,39.53693251,Uc
CIG____26___,429.3,526513.8543,6436746.803,37.61689925,Uc
CIG____27___,427.5,526382.786,6436651.378,36.55423323,Uc
CIG____28___,440.25,526721.0916,6436693.404,45.02553395,Uc
CIG____29___,446.5,526887.2827,6436746.961,46.19051034,Uc
CIG____30___,429.5,526093.4081,6436632.416,34.92738766,Uc
CIG____31___,433.7,525974.2165,6436641.637,33.12083447,Uc
CIG____32___,279.5,527027.835,6421114.827,196.6243919,Uc
CIG____33___,446.3,525825.2154,6436600.433,29.87854066,Uc
CIG____34___,438.8,525823.983,6436706.019,32.60277873,Uc
CIG____35___,445.1,525824.0591,6436756.475,24.69941732,Uc
CIG____36_A_,448.4,526869.7683,6436772.261,41.64839482,Uc
CIG____37_A_,448.2,526859.8555,6436716.135,44.18653024,Uc
CIG____37_B_,448.5,526868.9465,6436711.945,43.84736526,Uc
CIG____37_C_,446,526861.057,6436725.088,46.75295134,Uc
CIG____38___,438.5,526973.5573,6436753.776,57.84740367,Uc
CIG____39___,444.05,527088.3615,6436769.153,50.89523703,Uc
CIG____39_A_,441.7,527090.744,6436778.602,53.6364157,Uc
CIG____40___,440.2,527168.4204,6436793.471,48.26638802,Uc
CIG____41___,466.4,526542.0964,6437748.811,35.85965925,Uc
CIG____42___,439.4,527268.0653,6436840.088,46.26328907,Uc
CIG____42_A_,436.1,527268.6389,6436822.649,50.01493051,Uc
CIG____42_B_,437,527266.0771,6436832.448,48.53750934,Uc
CIG____43___,477.35,526480.3893,6437708.517,27.5216801,Uc
CIG____44___,426.6,527269.3563,6436772.542,59.91587648,Uc
CIG____44_A_,429.45,527268.6219,6436782.742,57.19103441,Uc
CIG____45___,434.3,527371.4103,6436820.162,47.16161222,Uc
CIG____45_A_,432.45,527371.128,6436803.611,49.64582321,Uc
CIG____45_B_,429.95,527372.9975,6436797.703,52.96122151,Uc
CIG____46___,427.95,527271.7496,6436763.377,58.79983161,Uc
CIG____46_A_,430.4,527270.4618,6436757.375,56.42389121,Uc
CIG____47_A_,425.12,527467.8822,6436784.662,56.71525729,Uc
CIG____47_B_,424.8,527471.5834,6436777.593,57.41706733,Uc
CIG____47_D_,428.2,527469.3566,6436792.765,53.86346279,Uc
CIG____48___,437.3,527268.6459,6436801.399,49.04609005,Uc
CIG____48_A_,434.8,527269.2782,6436812.248,51.53102239,Uc
CIG____48_B_,428.35,527274.2304,6436793.125,58.13292599,Uc
CIG____49___,432.9,527272.5791,6436742.984,55.07111476,Uc
CIG____49_A_,437.2,527275.4288,6436734.456,50.50456772,Uc
CIG____49_B_,436.5,527271.3625,6436726.055,51.24328865,Uc
CIG____50___,431.6,527462.9292,6436753.278,57.93318833,Uc
CIG____51___,455.4,527557.7171,6436775.337,44.51065184,Uc
CIG____51_A_,454.3,527564.3082,6436756.947,46.50586481,Uc
CIG____52___,430.4,527474.5674,6436809.151,51.47246057,Uc
CIG____52_A_,436.7,527468.4135,6436830.912,45.64515843,Uc
CIG____53___,436,527461.1546,6436730.265,55.28087741,Uc
CIG____53_A_,441.8,527463.4132,6436717.642,49.80332784,Uc
CIG____53_B_,444.1,527466.4073,6436699.965,49.19199352,Uc
CIG____53_C_,437.6,527458.8293,6436741.519,54.03889226,Uc
CIG____54___,443.4,527570.7453,6436807.825,53.31967466,Uc
CIG____55___,449.5,527659.109,6436879.453,42.56449163,Uc
CIG____56___,444.6,527269.8218,6436705.358,42.75719587,Uc
CIG____56_A_,442.4,527266.0987,6436713.828,45.24588389,Uc
CIG____56_B_,450.85,527277.2449,6436685.173,37.94883054,Uc
CIG____57___,425.85,527469.3592,6436764.395,60.15060564,Uc
CIG____58___,452.35,527668.1125,6436844.335,47.97076519,Uc
CIG____58_A_,447.6,527659.2859,6436828.538,53.34929354,Uc
CIG____59___,454.3,527661.6745,6436802.004,48.46351141,Uc
CIG____59_A_,449.9,527660.5534,6436816.936,53.46944875,Uc
CIG____60___,424.6,527364.2399,6436766.55,57.10652962,Uc
CIG____61___,444.8,526663.689,6436695.612,41.36935142,Uc
CIG____62___,446.8,527267.9029,6436669.511,40.94886323,Uc
CIG____63___,445.75,527765.4827,6436830.46,51.37524572,Uc
CIG____64___,446.1,526669.9981,6436675.502,39.69739422,Uc
CIG____65___,440.5,527089.155,6436751.587,51.44810184,Uc
CIG____66___,441.65,527762.6025,6436848.155,53.97876061,Uc
CIG____67___,425.7,527310.2395,6436779.275,58.24290243,Uc
CIG____68___,445.1,526665.5852,6436711.722,42.0144728,Uc
CIG____69___,446.8,526663.0442,6436729.219,40.27764717,Uc
CIG____70___,448.4,527089.5805,6436728.638,43.02914219,Uc
CIG____71___,437.4,527206.9459,6436791.32,50.1198447,Uc
CIG____72___,445,527761.1051,6436865.207,48.24185797,Uc
CIG____73___,452.6,526854.5229,6436691.134,37.14547778,Uc
CIG____74___,451.7,527087.3665,6436807.714,42.39852382,Uc
CIG____75___,441.5,527166.2741,6436777.612,46.56317213,Uc
CIG____76___,426.09,527284.5812,6436779.832,60.02991923,Uc
CIG____77___,438.1,527120.2637,6436772.114,54.12932138,Uc
CIG____78___,444.4,527084.5036,6436786.305,49.6302165,Uc
CIG____79___,439.49,527160.2718,6436810.53,49.52130711,Uc
CIG____80___,444.9,527164.3141,6436733.392,45.7098457,Uc
CIG____81___,449.6,527160.5643,6436833.231,40.81127805,Uc
CIG____83___,389.3,527212.6809,6437638.272,68.84291958,Uc
CIG____84___,469.5,526527.9538,6437776.14,33.00909783,Uc
CIG____85___,424.62,527325.7502,6436767.009,58.41640767,Uc
CIG____86___,393.99,527201.1316,6437652.867,68.72378444,Uc
CIG____87___,441.1,527131.8275,6436771.549,49.11452345,Uc
CIG____88___,473.7,526561.8947,6437745.097,28.02546539,Uc
CIG____89___,441.64,527184.2556,6436770.887,46.0851773,Uc
CIG____90___,437.8,527209.5191,6436773.804,50.04097706,Uc
CIG____91___,431.4,527238.3448,6436766.281,55.42308368,Uc
CIG____92___,453.9,527559.9722,6436728.566,49.72092662,Uc
CIG____93_A_,455.7,527558.9758,6436701.258,48.26420865,Uc
CIG____94_A_,442.8,526972.0374,6436773.52,54.0053709,Uc
CIG____94_B_,442.8,526972.0375,6436773.521,54.0053709,Uc
CIG____95___,433,526015.8688,6436627.062,33.87747596,Uc
CIG____96___,434,526016.5471,6436612.627,32.42904042,Uc
CIG____97___,426.5,526220.5148,6436689.312,38.23211529,Uc
CIG____98___,456,527562.6505,6436688,48.65252866,Uc
CIG____99___,441.25,526971.7786,6436731.422,54.90587385,Uc
CIG___100___,446.1,527581.1116,6436828.002,51.06055229,Uc
CIG___101_A_,428,526231.9298,6436707.304,36.67559484,Uc
CIG___102___,452.9,526971.2375,6436797.814,43.36930509,Uc
CIG___103___,429.15,527367.6573,6436748.923,54.14871887,Uc
CIG___104___,428.6,526231.8779,6436638.336,36.3215049,Uc
CIG___105___,449.1,526971.5976,6436708.571,46.06445648,Uc
CIG___106___,425.19,527365.6244,6436778.964,56.4539334,Uc
CIG___107___,423.39,527406.0255,6436761.951,58.92764714,Uc
CIG___108___,431.99,526225.1006,6436615.834,32.76737461,Uc
CIG___109___,437.89,527372.814,6436725.192,46.06666346,Uc
CIG___110___,440.89,527126.387,6436793.723,50.74063125,Uc
CIG___111___,444.29,527165.1264,6436756.905,44.06008696,Uc
CIG___112___,431.19,527314.0701,6436799.378,52.45534918,Uc
CIG___113___,422.9,527411.0087,6436781.878,58.61425467,Uc
CIG___114___,445.19,527121.8435,6436752.642,45.22235476,Uc
CIG___115___,441.3,527211.2998,6436753.714,47.83535256,Uc
CIG___116___,434.79,527308.1843,6436818.314,46.63189004,Uc
CIG___117___,425.54,527407.698,6436798.562,55.90779969,Uc
CIG___118_A_,430.64,527310.2364,6436757.147,54.78014618,Uc
CIG___119___,431.64,527311.0393,6436736.235,54.30730022,Uc
CIG___120___,447.7,527131.4719,6436815.536,45.31730875,Uc
CIG___121___,442.89,527208.1377,6436733.444,46.63353513,Uc
CIG___122___,406.59,528059.818,6436964.984,51.45951947,Uc
CIG___123___,439.59,527512.5455,6436755.555,55.75042006,Uc
CIG___124___,439.9,527208.9834,6436810.801,47.71001769,Uc
CIG___125___,434.2,526023.3234,6436585.436,31.14630755,Uc
CIG___126___,440.74,527511.9699,6436774.511,53.03298098,Uc
CIG___127___,431.49,526014.766,6436645.978,35.6191827,Uc
CIG___128___,447.79,527162.2624,6436715.759,41.86506616,Uc
CIG___129___,432.14,526016.2507,6436671.046,35.675428,Uc
CIG___130___,442.26,527313.0063,6436715.043,43.92990327,Uc
CIG___131___,438.12,527511.9754,6436791.69,53.04045965,Uc
CIG___133___,435.6,526030.3239,6436696.446,32.98359027,Uc
CIG___134___,432.1,527414.5482,6436827.154,46.28099243,Uc
CIG___135___,438.74,527515.2021,6436815.019,50.02004788,Uc
CIG___136___,409.49,528053.979,6437015.299,53.05514554,Uc
CIG___137___,430.69,527409.7598,6436739.163,52.9222649,Uc
CIG___138___,456.29,527479.8153,6436722.102,46.24073583,Uc
CIG___139___,446.2,526970.2629,6436408.759,41.64627756,Uc
CIG___140___,414.39,528066.4829,6436915.197,50.17037505,Uc
CIG___141___,444.69,527028.0367,6436775.448,51.73343055,Uc
CIG___142___,428.68,526470.4254,6436670.95,38.96278318,Uc
CIG___143___,439.2,527032.8131,6436754.893,56.6193274,Uc
CIG___144___,438.59,525821.0947,6436653.813,33.82592823,Uc
CIG___145___,442.29,527509.6411,6436730.046,54.18467769,Uc
CIG___146___,429.49,526468.4466,6436649.398,38.55170992,Uc
CIG___147___,439.75,527027.4632,6436729.422,54.79996077,Uc
CIG___148_A_,430.6,526473.8796,6436691.47,35.23950897,Uc
CIG___149___,442.2,526470.8457,6436619.221,32.67676314,Uc
CIG___150___,448.2,527024.4371,6436795.677,48.22559375,Uc
CIG___151___,451.7,527502.979,6436711.166,47.77302222,Uc
CIG___152___,447.4,527031.8862,6436712.663,46.20514978,Uc
CIG___153___,503.49,526678.9569,6437715.55,37.21378802,Uc
CIG___154___,441.8,525715.1344,6436656.149,31.8145933,Uc
CIG___155___,509.49,526671.7728,6437483.668,29.28240107,Uc
CIG___156___,447.29,525624.588,6436654.263,28.43586721,Uc
CIG___157___,513.8,526762.4697,6437265.127,38.00599197,Uc
CIG___158___,447.29,525624.1386,6436636.51,28.85883683,Uc
CIG___159___,523,526922.2681,6436898.674,33.53329528,Uc
CIG___160___,447.59,525626.9471,6436612.641,29.86983123,Uc
CIG___161___,476,526568.7321,6437713.639,23.54774294,Uc
CIG___162___,448.49,525632.3011,6436675.104,26.81408263,Uc
CIG___163___,464.2,526612.0113,6437749.978,35.52558492,Uc
CIG___164___,452.99,525518.9702,6436648.039,22.33962057,Uc
CIG___165___,455,526953.5135,6436597.925,36.7479063,Uc
CIG___166___,451.6,525515.4632,6436691.735,23.23029437,Uc
CIG___167_A_,424.74,527387.3222,6436761.999,56.48233514,Uc
CIG___168___,450,525517.6491,6436730.294,25.94875245,Uc
CIG___169___,451.35,527661.2693,6436698.071,51.29230042,Uc
CIG___170_A_,456.9,525511.3429,6436753.06,20.18505356,Uc
CIG___171___,457.2,526597.9779,6437784.767,44.47075081,Uc
CIG___172___,459.25,526621.3492,6437824.018,40.42785343,Uc
CIG___173___,451.99,525518.5923,6436713.209,23.04693001,Uc
CIG___174_A_,461.2,526609.3062,6437834.218,40.12443126,Uc
CIG___175___,486.89,525554.6111,6436786.325,19.59923617,Uc
CIG___176___,455.05,526632.4819,6437812.815,43.59713873,Uc
CIG___177___,450.3,527653.7001,6436724.886,52.64489942,Uc
CIG___178_A_,461.1,526693.3959,6437890.918,35.36441648,Uc
CIG___179___,450.8,527658.0211,6436746.609,52.41016229,Uc
CIG___180___,457.2,526725.2257,6437874.662,36.20599499,Uc
CIG___181___,454.3,527754.1369,6436723.379,49.07882784,Uc
CIG___182___,479.59,526493.2109,6437689.289,23.87480593,Uc
CIG___183_A_,480.5,526455.1979,6437732.137,22.72765811,Uc
CIG___184___,452.8,526636.768,6437795.434,45.47802352,Uc
CIG___185___,441.89,527273.4597,6436924.449,40.93145078,Uc
CIG___187_A_,425.89,527348.2174,6436769.721,56.54488076,Uc
CIG___188___,368.62,528607.3991,6437138.761,87.74658251,Uc
CIG___189___,371.8,529079.0408,6437137.484,85.1105855,Uc
CIG___190___,371.49,529082.4973,6437100.877,85.05422589,Uc
CIG___191___,373.5,528990.5672,6437202.755,83.02778117,Uc
CIG___192___,373.75,529529.6643,6437292.651,82.82033329,Uc
CIG___193_A_,428.8,527285.1849,6436761.134,57.62409827,Uc
CIG___194___,397,527224.8914,6437620.1,60.77248469,Uc
CIG___195___,428.14,527337.9345,6436749.173,58.73881612,Uc
CIG___196___,434.24,527286.0211,6436737.017,49.69386085,Uc
CIG___197___,425.39,527338.2315,6436780.317,57.32911317,Uc
CIG___198___,428.39,527289.5602,6436795.104,56.35931261,Uc
CIG___199___,438.49,527339.3497,6436720.654,45.96671682,Uc
CIG___200___,459.2,524442.1574,6437760.267,18.52770084,Uc
CIG___201___,384.58,527277.5585,6437716.574,75.47235825,Uc
CIG___202___,415.05,532009.7028,6452582.824,45.50516488,Uc
CIG___203___,470.05,523492.976,6438074.399,11.78593441,Uc
CIG___204___,390.05,527803.6185,6437894.402,66.56892798,Uc
CIG___205___,443.71,529395.6776,6451423,43.15341252,Uc
CIG___206___,391.6,527242.9771,6437732.902,72.64096126,Uc
CIG___207___,451.09,524860.1879,6436538.172,20.72257055,Uc
CIG___208___,367.09,532264.1314,6438326.389,89.25142542,Uc
CIG___209___,358.1,530461.585,6437366.229,98.35563663,Uc
CIG___210___,450.9,524893.8665,6436865.287,19.28945555,Uc
CIG___211___,441.94,527279.3999,6436716.856,45.08843686,Uc
CIG___212___,466.6,524102.3339,6437931.939,14.25614486,Uc
CIG___213___,450.2,527220.9055,6436567.513,38.81340915,Uc
CIG___214___,442.49,527293.7912,6436665.657,44.74953611,Uc
CIG___215___,446.45,527268.5364,6436626.782,41.75730195,Uc
CIG___216___,448.95,527262.846,6436589.504,39.497383,Uc
CIG___217___,445.12,527298.3381,6436637.62,42.1091574,Uc
CIG___220___,438.4,527298.251,6436637.698,48.82813391,Uc
CIG___221___,464.9,527231.7922,6436751.612,52.65263792,Uc
CIG___222___,478.1,527229.9833,6436787.997,53.05798602,Uc
CIG___223___,458.6,527261.8691,6436761.208,57.54830236,Uc
CIG___224___,469.3,527271.1571,6436792.637,58.29984382,Uc
CIG___225___,421,527398.5717,6436772.114,59.65827098,Uc
CIG___225_A_,421,527395.7838,6436773.151,59.64529139,Uc
CIG___225_B_,422.1,527399.0094,6436773.793,58.583686,Uc
CIG___227___,421.1,527442.7818,6436769.322,60.71435862,Uc
CIG___227_A_,420.6,527442.4645,6436770.425,61.20676081,Uc
CIG___228___,438.5,527512.7434,6436740.891,57.89422781,Uc
CIG___229___,447.73,527216.1268,6436510.176,41.99094292,Uc
CIG___230___,423.8,527439.4923,6436763.089,59.63710316,Uc
CIG___231___,434.3,527492.789,6436759.709,56.52334136,Uc
CIG___232___,461.52,527417.1267,6436526.526,40.69081818,Uc
CIG___233___,449.47,527216.72,6436474.798,40.17538638,Uc
CL538,453.9,527216.7276,6436474.883,35.74620277,Uc
WC____234___,470.5,532566.7148,6463099.045,12.54498362,Uc
WC____235___,491,531454.0094,6460969.866,-15.98808649,Uc
WC____236___,357.2,530856.3135,6437429.304,96.46797851,Uc
WC____237___,351.6,530865.3314,6436781.625,101.6966157,Uc
WC____238___,344.7,532053.0244,6436791.334,109.3996163,Uc
WC____239___,368.15,529662.9299,6437013.058,89.27899033,Uc
WC____240A__,391.2,528462.1062,6437033.124,93.1501673,Uc
WC____241___,416.3,528282.7201,6436931.123,75.04467875,Uc
WC____242___,441.4,528168.5154,6436929.97,56.63102256,Uc
WC____243___,456.3,528202.5518,6436980.659,57.90421953,Uc
WC____244___,452,528176.5902,6436845.817,67.47917794,Uc
WC____245___,447.29,528253.831,6436848.834,67.25464776,Uc
WC____246___,474.6,528077.4759,6436837.345,52.4221553,Uc
WC____247___,427.2,528268.7237,6436823.769,64.82355005,Uc
WC____248___,429,528359.967,6436831.944,77.04971015,Uc
WC____249___,456.85,526679.9405,6437783.472,45.56212253,Uc
WC____250___,448.9,527262.9479,6436637.796,40.43166512,Uc
WC____251___,448.65,527326.934,6436641.664,40.32512829,Uc
WC____252___,452.1,526936.3478,6437069.634,35.03323601,Uc
WC____253___,431.7,527758.2877,6436978.336,49.41758207,Uc
WC____254___,442.9,526944.11,6436252.207,43.07765413,Uc
WC____255___,441.45,527601.8181,6436144.853,44.44028145,Uc
WC____256___,449,527601.8664,6436144.808,36.89056893,Uc
WC____257___,445.7,528146.6254,6436861.596,62.09188454,Uc
WC____258A__,444.7,528174.087,6436833.152,59.23312936,Uc
WC____259___,424.2,528261.0101,6436873.429,73.15015142,Uc
WC____260___,432.5,528222.4542,6436856.828,64.52281927,Uc
WC____261___,414.4,528363.1507,6436881.795,79.52414621,Uc
WC____262___,447.1,528146.2009,6436853.015,60.07608949,Uc
WC____263___,457.4,528064.2087,6436707.186,54.48567654,Uc
WC____264___,416.1,528318.8826,6436856.727,75.61305306,Uc
WC____265___,445.2,526777.1935,6437808.484,53.74727068,Uc
WC____266___,471.5,526565.6586,6437820.769,34.57371604,Uc
WC____267___,461.95,526596.616,6437834.032,41.1723454,Uc
WC____268___,449.2,527097.0174,6436500.052,39.56194811,Uc
WC____269___,451.8,527295.5566,6436433.441,38.45380758,Uc
WC____270___,447.2,527369.2589,6436616.426,42.35732943,Uc
WC____271A__,460.2,527537.9964,6436643.177,43.26600964,Uc
WC____272___,429.3,527430.9593,6436861.812,45.04670321,Uc
WC____273___,460.7,527025.7324,6436868.371,34.6352033,Uc
WC____274___,447.8,527247.843,6436515.013,41.09798715,Uc
WC____275A__,519.2,527260.1136,6436517.028,41.74783089,Uc
WC____275B__,533.9,527261.0273,6436524.558,29.15540687,Uc
WC____276___,448.6,527303.5322,6436522.083,40.58287247,Uc
